NombrePignorante,fc_trans,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,prestamo,pr_recup,edad,num_arms,faltas,dummy_prenda_tipo5,dummy_edo_civil1,dummy_edo_civil2,dummy_edo_civil3,dummy_edo_civil4,dummy_trabajo1,dummy_trabajo2,dummy_trabajo3,dummy_trabajo4,dummy_trabajo5,dummy_trabajo6,dummy_trabajo7,dummy_trabajo8,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,renta,comida,medicina,luz,gas,telefono,agua,masqueprepa,estresado_seguido,pb,fb,hace_presupuesto,tentado,low_cost,low_time,rec_cel,dummy_choose_same3,dummy_trabajo9,pro_2,reincidence,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-784767247664e7,1747.8,80117465,0,0,0,0,1,0,0,0,0,0,1,0,1200,100,54,1,0.2857143,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0.015800884961278572,3.698809204730123e-4,0.5315659847517591
-779478748521e7,18615.261875,42125372.5,0,1,0,0,0,0,0,0,1,0,0,0,4565,90,44,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0.009254337926989181,0.0011139206254699176,0.4476602906301153
-775478139824e7,6331.5898,78131711,0,0,0,1,0,0,0,0,0,1,0,0,4380,100,20,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0.007263557143312481,3.9606237127701394e-4,0.47010051535593267
-762382285289e7,2103.54,42125170,0,0,0,0,0,1,0,0,1,0,0,0,2e3,100,39,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0.00702120313296581,1.8894434127679475e-4,0.5898760776579186
-760758888563e7,3391.6371,78134211.5,0,0,0,0,0,1,0,0,0,1,0,0,860,80,47,3,0.5714286,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0.017000481086708655,3.9565226141337947e-4,0.5142757859425514
-756564202483e7,3765.6899,3594294,0,0,0,0,1,0,1,0,0,0,0,0,2810,90,52,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,-0.010176117326785193,0.0015769349012760823,0.5453897061294799
-754390261763e7,589.01001,78134445,1,0,0,0,0,0,0,0,0,1,0,0,340,100,22,1,0.14285715,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0.009861439080769998,0.0014942191370952928,0.5877328916858963
-7.5098231246000005e+018,556.96002,80117216,0,0,1,0,0,0,0,0,0,0,1,0,400,50,57,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0.013933681233316727,6.695735340610004e-4,0.5579472105591778
-747377834851e7,651.02997,80117729,1,0,0,0,0,0,0,0,0,0,1,0,330,90,47,1,0.14285715,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0.014618717420024099,7.257590167434938e-4,0.5540983951488785
-746889877976e7,4727.03215,10463417.333333334,0,1,0,0,0,0,0,0,0,0,0,1,1176.6666666666667,100,28,1,0.14285715,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0.01968801015947199,7.020107519210242e-4,0.44246109618072843
-745002269265e7,2847.1599,80116992,1,0,0,0,0,0,0,0,0,0,1,0,1830,100,18,1,0.85714287,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0.014862859622622291,3.345959641310346e-4,0.5434946128378211
-740493098607e7,2404.6399,3594227,0,0,0,1,0,0,1,0,0,0,0,0,1770,100,34,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0.012655890699663755,0.0021512594611007205,0.5083623863524882
-739863003457e7,3294.2113,78134289.5,0,0,1,0,0,0,0,0,0,1,0,0,1110,70,22,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0.002591205347700545,6.810866583766484e-4,0.5100538456899988
-738722368775e7,2537.5828,5522721,0,0,0,1,0,0,0,1,0,0,0,0,1010,100,21,1,0.14285715,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0.0424598204889883,6.864160212213367e-4,0.6431212487524323
-733763515741e7,5997.2998,78132932,0,0,0,0,0,1,0,0,0,1,0,0,4200,100,20,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,-0.004333156653874986,2.3739999155642408e-4,0.5282012082944522
-732666810301e7,5714.2856,10463215,0,0,0,1,0,0,0,0,0,0,0,1,1830,100,63,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.011618127133599106,2.903832481105056e-4,0.3954223780567915
-73027496579e8,2548.1899,3594117,0,0,0,0,1,0,1,0,0,0,0,0,1620,100,41,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.02095089483070924,5.554466990722537e-4,0.6021490552085322
-727638436913e7,5032.8599,80116797,1,0,0,0,0,0,0,0,0,0,1,0,3370,100,50,1,0.14285715,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0.021412070687933694,6.676991363058219e-4,0.4910918029770174
-724621055173e7,5728.7603,42125871,0,0,1,0,0,0,0,0,1,0,0,0,4930,100,58,1,0.42857143,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0.020070412244814796,2.797167541783883e-4,0.5049577614175456
-719080433984e7,2187.9502,78134730,0,0,0,1,0,0,0,0,0,1,0,0,1820,100,45,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0.028505018893498754,6.834841290459989e-4,0.5370237739632558
-718647252784e7,262.64066,80117239,0,0,0,1,0,0,0,0,0,0,1,0,130,100,55,1,0.42857143,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0.02157932693968782,8.907702192336456e-4,0.554472861896974
-711774348174e7,5e3,80117219,0,0,1,0,0,0,0,0,0,0,1,0,2120,100,56,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0.008017585266080518,3.693673396535872e-4,0.5231021224613418
-7.0562639185200005e+018,2814.25,10463382,1,0,0,0,0,0,0,0,0,0,0,1,2630,100,43,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0.0026756366106115495,4.160056551415122e-4,0.39804950675040757
-702996763928e7,1428.5714,80117722,1,0,0,0,0,0,0,0,0,0,1,0,1550,80,43,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0.026718299106742005,5.898700983836331e-4,0.5032120904137964
-700652423802e7,1130.2783,42124685,0,0,0,0,1,0,0,0,1,0,0,0,510,100,41,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0.02722553643482117,8.777531868327901e-4,0.6002673523040118
